url,country,start,end
https://www.youtube.com/watch?v=WSDgrBjF7js,Denmark,,
https://www.youtube.com/watch?v=QUgRQ4tRVxk,France,,
https://www.youtube.com/watch?v=tkLLPMQ3vRU,Liechtenstein,,
https://www.youtube.com/watch?v=P2mMWjcAb7E,Togo,,
https://www.youtube.com/watch?v=ZD0qcbp48Og,Chad,,
https://www.youtube.com/watch?v=PZFC-IGfdqk,Kuwait,,
https://www.youtube.com/watch?v=nl8l6upmlcQ,Austria,,
https://www.youtube.com/watch?v=GHkFELOZ_O0,Nepal,,
https://www.youtube.com/watch?v=LFElrz6cZ84,United Republic of Tanzania,,
https://www.youtube.com/watch?v=3abedoGaU-g,Greece,,
https://www.youtube.com/watch?v=mQQRNB1jEhU,Trinidad and Tobago,,
https://www.youtube.com/watch?v=liNAORFSQBE,Equatorial Guinea,0:00:43,0:11:39
https://www.youtube.com/watch?v=IguGh0L62Ec,Gambia,,
https://www.youtube.com/watch?v=nATOs4KoAAM,North Macedonia,,
https://www.youtube.com/watch?v=Atag74u01AM,Israel,,
https://www.youtube.com/watch?v=GcuRps-66d4,Mauritius,,
https://www.youtube.com/watch?v=by6-qZl2K6A,Malaysia,,
https://www.youtube.com/watch?v=uQZm_uHRg_k,Brazil,,
https://www.youtube.com/watch?v=fCGSQVY_vIM,Turkey,,
https://www.youtube.com/watch?v=uWyDAYAPs7Q,Portugal,,
https://www.youtube.com/watch?v=d3wy_Z0yFSg,Qatar,,
https://www.youtube.com/watch?v=EnuGm5nJ_Hs,Malta,,
https://www.youtube.com/watch?v=DBaEleWyBks,Netherlands,,
https://www.youtube.com/watch?v=TUErairSmv4,Pakistan,,
https://www.youtube.com/watch?v=ftHsJscUARU,Barbados,,
https://www.youtube.com/watch?v=rmIvt077mSs,Thailand,,
https://www.youtube.com/watch?v=jXKaBXPOkKo,Andorra,,
https://www.youtube.com/watch?v=ulr6U1HA7SU,Saint Lucia,,
https://www.youtube.com/watch?v=JhIoUPFXFY4,Fiji,,
https://www.youtube.com/watch?v=Ba16Nqq8n-E,Bangladesh,,
https://www.youtube.com/watch?v=DKcXWp2RW0g,Iraq,,
https://www.youtube.com/watch?v=zvi9Yxk2f3A,Seychelles,,
https://www.youtube.com/watch?v=eyptxCai14Q,Luxembourg,,
https://www.youtube.com/watch?v=6BCM7MT2QEY,Antigua and Barbuda,,
https://www.youtube.com/watch?v=rcovxYXgNA8,Gabon,,
https://www.youtube.com/watch?v=_JhG27kHH0Y,Solomon Islands,,
https://www.youtube.com/watch?v=33V3DXK3L2U,Vietnam,,
https://www.youtube.com/watch?v=kvlrNjh1ao0,Cambodia,,
https://www.youtube.com/watch?v=dfFyGIRi7X8,Lesotho,,
https://www.youtube.com/watch?v=AKIMd3eT2OY,Georgia,,
https://www.youtube.com/watch?v=Zs_Y2ppPYOE,Ireland,,
https://www.youtube.com/watch?v=KRrjhY3FGxM,Grenada,,
https://www.youtube.com/watch?v=f9WuWcoLkJ4,Tuvalu,,
https://www.youtube.com/watch?v=vr1_aWQDSFU,Haiti,,
https://www.youtube.com/watch?v=pTdT9mWsSds,Tonga,,
https://www.youtube.com/watch?v=-oTZPf6sfsQ,United Kingdom,,
https://www.youtube.com/watch?v=h0umnhuI2z4,Singapore,,
https://www.youtube.com/watch?v=kDP8gF5owjA,Australia,,
https://www.youtube.com/watch?v=zNpIoY57Ln8,Bahrain,,
https://www.youtube.com/watch?v=q-OVm7WZQoM,Sweden,,
https://www.youtube.com/watch?v=pT8_l0gXBf8,Bahamas,,
https://www.youtube.com/watch?v=-oC0FnrIuqI,Costa Rica,,
